order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,snapshot_date
974c1993ab8024d3ed16229183c2308d,a90391a47de936d56c66a5366cba1462,delivered,2017-02-20T11:45:39.000+08:00,2017-02-22T03:10:20.000+08:00,2017-02-23T06:47:35.000+08:00,2017-03-09T14:27:58.000+08:00,2017-03-21T00:00:00.000+08:00,02_2017
bb4f0c21ae6014e40ef007ff6fbcbeb9,94f7f1cb719dd707fd437e918d282537,delivered,2017-02-12T18:48:56.000+08:00,2017-02-12T19:02:52.000+08:00,2017-02-16T14:42:05.000+08:00,2017-03-01T14:09:10.000+08:00,2017-03-16T00:00:00.000+08:00,02_2017
51fc12a7908ea200b269a6ecfb3e7740,abbfa19a38ba17ff02883ba523a9d42f,delivered,2017-02-08T18:00:36.000+08:00,2017-02-10T02:55:28.000+08:00,2017-02-15T12:37:51.000+08:00,2017-02-20T18:14:01.000+08:00,2017-03-17T00:00:00.000+08:00,02_2017
6f6665c1d76e55561978ccb45bdcafc6,12ae89712aa5a178c22147486d3cd310,delivered,2017-02-23T08:03:00.000+08:00,2017-02-23T08:15:17.000+08:00,2017-02-23T09:10:22.000+08:00,2017-03-02T09:23:07.000+08:00,2017-04-03T00:00:00.000+08:00,02_2017
f112b9fc8967a675670bedf5a2bc6b2b,4913f37a6cb9e2ba061770efb2ea4e58,delivered,2017-02-17T17:37:52.000+08:00,2017-02-17T17:50:12.000+08:00,2017-02-20T10:27:58.000+08:00,2017-03-10T13:06:28.000+08:00,2017-03-24T00:00:00.000+08:00,02_2017
5b96fa278c2b3c1e29c190ef1b651d08,207ac9416941d5b76d64875a33fe3659,delivered,2017-02-13T09:35:10.000+08:00,2017-02-14T04:03:44.000+08:00,2017-02-16T12:48:03.000+08:00,2017-03-01T11:37:25.000+08:00,2017-03-14T00:00:00.000+08:00,02_2017
9d513821c0477231fc7c1bfd684d13d8,00a6e2753fc2652cb87386ffbf5792b2,delivered,2017-02-20T21:31:59.000+08:00,2017-02-22T06:50:09.000+08:00,2017-02-23T07:23:34.000+08:00,2017-03-21T10:35:41.000+08:00,2017-03-17T00:00:00.000+08:00,02_2017
7f97f025c45cac922275120fdee4e062,695449e690b9ed39a1afa2dc5f3e900f,delivered,2017-02-07T12:01:07.000+08:00,2017-02-09T02:43:09.000+08:00,2017-02-10T14:04:07.000+08:00,2017-02-17T17:06:01.000+08:00,2017-03-02T00:00:00.000+08:00,02_2017
c5e754f77f6f127371e929ccb707fce3,19ce60e416e5f9342e80d5ddcc814b03,delivered,2017-02-11T10:53:48.000+08:00,2017-02-11T11:05:19.000+08:00,2017-02-20T03:54:56.000+08:00,2017-02-24T10:37:39.000+08:00,2017-03-17T00:00:00.000+08:00,02_2017
46c22ce0488991c798933effd2b57574,d022cc2c5b40e84f1c19866f337c7a68,delivered,2017-02-06T15:43:18.000+08:00,2017-02-06T15:55:38.000+08:00,2017-02-08T15:48:44.000+08:00,2017-02-20T17:08:04.000+08:00,2017-03-03T00:00:00.000+08:00,02_2017
